"dog_id" "context_id" "survey_number" "days_after_adoption" "behaviour_code_name" "behaviour_code_number" "behaviour_code_colour"
49 1 "Second" 15 NA NA NA
50 1 "First" 17 "Friendly" 1 1
50 1 "Second" 17 NA NA NA
51 1 "First" 21 "Independent" 3 1
51 1 "Second" 36 "Independent" 3 1
52 1 "First" 21 "Playful" 2 1
52 1 "Second" 42 "Friendly" 1 1
53 1 "First" 15 "Independent" 3 1
53 1 "Second" 51 "Reactive to Dogs Non Aggressive" 9 2
54 1 "First" 17 "Sexual" 5 2
54 1 "Second" 17 NA NA NA
55 1 "First" 22 "Friendly" 1 1
55 1 "Second" 37 "Playful" 2 1
56 1 "First" 35 "Friendly" 1 1
56 1 "Second" 35 NA NA NA
57 1 "First" 15 "Reactive to Dogs Non Aggressive" 9 2
57 1 "Second" 44 "Reactive to Dogs Aggressive" 16 3
58 1 "First" 16 "No opinion" NA NA
58 1 "Second" 37 "Friendly" 1 1
59 1 "First" 18 "Friendly" 1 1
59 1 "Second" 18 NA NA NA
60 1 "First" 15 "Reactive to Dogs Aggressive" 16 3
60 1 "Second" 15 NA NA NA
61 1 "First" 20 "Independent" 3 1
61 1 "Second" 41 "Independent" 3 1
62 1 "First" 51 "Playful" 2 1
62 1 "Second" 72 "Playful" 2 1
63 1 "First" 19 "Reactive to Dogs Non Aggressive" 9 2
63 1 "Second" 40 "Reactive to Dogs Aggressive" 16 3
64 1 "First" 15 "Reactive to Dogs Aggressive" 16 3
64 1 "Second" 50 "Playful" 2 1
65 1 "First" 29 "Independent" 3 1
65 1 "Second" 29 NA NA NA
66 1 "First" 15 "Friendly" 1 1
66 1 "Second" 36 "Reactive to Dogs Aggressive" 16 3
67 1 "First" 17 "Playful" 2 1
67 1 "Second" 39 "Playful +" 13 2
68 1 "First" 15 "Playful" 2 1
68 1 "Second" 42 "Independent" 3 1
69 1 "First" 16 "Reactive to Dogs Non Aggressive" 9 2
69 1 "Second" 38 "Friendly" 1 1
70 1 "First" 16 "Friendly" 1 1
70 1 "Second" 52 "Friendly" 1 1
71 1 "First" 16 "Friendly" 1 1
71 1 "Second" 35 "Friendly" 1 1
72 1 "First" 22 "Reactive to Dogs Non Aggressive" 9 2
72 1 "Second" 43 "Friendly" 1 1
73 1 "First" 16 "No opinion" NA NA
73 1 "Second" 37 "No opinion" NA NA
74 1 "First" 19 "Reactive to Dogs Non Aggressive" 9 2
74 1 "Second" 52 "Reactive to Dogs Non Aggressive" 9 2
75 1 "First" 15 "Submissive" 4 1
75 1 "Second" 49 "Playful" 2 1
76 1 "First" 19 "Friendly" 1 1
76 1 "Second" 37 "Friendly" 1 1
77 1 "First" 18 "Submissive" 4 1
77 1 "Second" 52 "Friendly" 1 1
78 1 "First" 14 "Friendly" 1 1
78 1 "Second" 35 "Independent" 3 1
79 1 "First" 12 "Friendly" 1 1
79 1 "Second" 48 "Playful" 2 1
80 1 "First" 16 "Reactive to Dogs Aggressive" 16 3
80 1 "Second" 37 "Reactive to Dogs Non Aggressive" 9 2
81 1 "First" 17 "Friendly" 1 1
81 1 "Second" 17 NA NA NA
82 1 "First" 16 "Submissive" 4 1
82 1 "Second" 36 "Submissive" 4 1
83 1 "First" 16 "Playful" 2 1
83 1 "Second" 36 "Playful" 2 1
84 1 "First" 15 "Uncomfortable Avoids" 6 2
84 1 "Second" 38 "Friendly" 1 1
85 1 "First" 31 "Friendly" 1 1
85 1 "Second" 47 "Friendly" 1 1
86 1 "First" 16 "Playful +" 13 2
86 1 "Second" 37 "Playful" 2 1
87 1 "First" 16 "Uncomfortable Avoids" 6 2
87 1 "Second" 16 NA NA NA
88 1 "First" 19 "Reactive to Dogs Non Aggressive" 9 2
88 1 "Second" 38 "Friendly" 1 1
89 1 "First" 15 "Reactive to Dogs Aggressive" 16 3
89 1 "Second" 36 "Reactive to Dogs Aggressive" 16 3
90 1 "First" 25 "Reactive to Dogs Non Aggressive" 9 2
90 1 "Second" 25 NA NA NA
91 1 "First" 16 "Friendly" 1 1
91 1 "Second" 37 "Friendly" 1 1
92 1 "First" 23 "Reactive to Dogs Non Aggressive" 9 2
92 1 "Second" 35 "Reactive to Dogs Non Aggressive" 9 2
93 1 "First" 17 "Friendly" 1 1
93 1 "Second" 36 "Friendly" 1 1
94 1 "First" 25 "Reactive to Dogs Non Aggressive" 9 2
94 1 "Second" 41 "Independent" 3 1
95 1 "First" 17 "Friendly" 1 1
95 1 "Second" 38 "Friendly" 1 1
96 1 "First" 16 "Friendly" 1 1
96 1 "Second" 37 "Independent" 3 1
97 1 "First" 19 "Friendly" 1 1
97 1 "Second" 35 "Friendly" 1 1
98 1 "First" 17 "Friendly" 1 1
98 1 "Second" 37 "Friendly" 1 1
99 1 "First" 21 "Friendly" 1 1
99 1 "Second" 41 "Friendly" 1 1
100 1 "First" 19 "Friendly" 1 1
100 1 "Second" 39 "Submissive" 4 1
101 1 "First" 17 "Independent" 3 1
101 1 "Second" 17 NA NA NA
102 1 "First" 22 "Friendly" 1 1
102 1 "Second" 22 NA NA NA
103 1 "First" 16 "Uncomfortable Avoids" 6 2
103 1 "Second" 43 "Independent" 3 1
104 1 "First" 17 "Friendly" 1 1
104 1 "Second" 17 NA NA NA
105 1 "First" 16 "Playful" 2 1
105 1 "Second" 43 "Playful" 2 1
106 1 "First" 23 "Friendly" 1 1
106 1 "Second" 23 NA NA NA
107 1 "First" 19 "Playful +" 13 2
107 1 "Second" 40 "Playful +" 13 2
108 1 "First" 18 "Reactive to Dogs Aggressive" 16 3
108 1 "Second" 18 NA NA NA
109 1 "First" 19 "Playful" 2 1
109 1 "Second" 19 NA NA NA
110 1 "First" 14 "Reactive to Dogs Aggressive" 16 3
110 1 "Second" 35 "Reactive to Dogs Aggressive" 16 3
111 1 "First" 17 "Independent" 3 1
111 1 "Second" 17 NA NA NA
112 1 "First" 17 "No opinion" NA NA
112 1 "Second" 38 "Friendly" 1 1
113 1 "First" 19 "Reactive to Dogs Aggressive" 16 3
113 1 "Second" 19 NA NA NA
114 1 "First" 17 "Submissive" 4 1
114 1 "Second" 17 NA NA NA
115 1 "First" 26 "Independent" 3 1
115 1 "Second" 41 "Independent" 3 1
116 1 "First" 29 "Chases" 7 2
116 1 "Second" 47 "Playful" 2 1
117 1 "First" 18 "No opinion" NA NA
117 1 "Second" 40 "Reactive to Dogs Aggressive" 16 3
118 1 "First" 36 "Playful" 2 1
118 1 "Second" 36 NA NA NA
119 1 "First" 18 "No opinion" NA NA
119 1 "Second" 36 "Friendly" 1 1
120 1 "First" 17 "Friendly" 1 1
120 1 "Second" 17 NA NA NA
121 1 "First" 23 "Reactive to Dogs Non Aggressive" 9 2
121 1 "Second" 38 "Reactive to Dogs Aggressive" 16 3
122 1 "First" 21 "Friendly" 1 1
122 1 "Second" 21 NA NA NA
123 1 "First" 19 "Playful" 2 1
123 1 "Second" 40 "Playful" 2 1
124 1 "First" 38 "Friendly" 1 1
124 1 "Second" 38 NA NA NA
125 1 "First" 20 "Friendly" 1 1
125 1 "Second" 42 "Friendly" 1 1
126 1 "First" 21 "Playful" 2 1
126 1 "Second" 41 "Playful" 2 1
127 1 "First" 15 "Playful" 2 1
127 1 "Second" 36 "Friendly" 1 1
128 1 "First" 17 "Reactive to Dogs Non Aggressive" 9 2
128 1 "Second" 42 "Reactive to Dogs Non Aggressive" 9 2
129 1 "First" 15 "Friendly" 1 1
129 1 "Second" 15 NA NA NA
130 1 "First" 18 "Reactive to Dogs Non Aggressive" 9 2
130 1 "Second" 38 "Playful" 2 1
131 1 "First" 38 "Friendly" 1 1
131 1 "Second" 38 NA NA NA
132 1 "First" 22 "Playful" 2 1
132 1 "Second" 22 NA NA NA
133 1 "First" 19 "Playful" 2 1
133 1 "Second" 40 "Playful" 2 1
134 1 "First" 17 "Uncomfortable Avoids" 6 2
134 1 "Second" 38 "Playful" 2 1
135 1 "First" 15 "Submissive" 4 1
135 1 "Second" 38 "Friendly" 1 1
136 1 "First" 23 "Uncomfortable Avoids" 6 2
136 1 "Second" 37 "Independent" 3 1
137 1 "First" 16 "Playful" 2 1
137 1 "Second" 37 "Friendly" 1 1
138 1 "First" 16 "Friendly" 1 1
138 1 "Second" 38 "Friendly" 1 1
139 1 "First" 7 "Playful" 2 1
139 1 "Second" 41 "Playful" 2 1
140 1 "First" 20 "Reactive to Dogs Aggressive" 16 3
140 1 "Second" 20 NA NA NA
141 1 "First" 27 "Independent" 3 1
141 1 "Second" 27 NA NA NA
142 1 "First" 17 "Playful" 2 1
142 1 "Second" 17 NA NA NA
143 1 "First" 25 "Friendly" 1 1
143 1 "Second" 37 "Playful" 2 1
144 1 "First" 15 "Playful" 2 1
144 1 "Second" 36 "Playful" 2 1
145 1 "First" 18 "Friendly" 1 1
145 1 "Second" 38 "Friendly" 1 1
146 1 "First" 21 "Independent" 3 1
146 1 "Second" 42 "Reactive to Dogs Aggressive" 16 3
147 1 "First" 19 "Uncomfortable Avoids" 6 2
147 1 "Second" 39 "Uncomfortable Avoids" 6 2
148 1 "First" 20 "Uncomfortable Approaches" 12 2
148 1 "Second" 41 "Reactive to Dogs Aggressive" 16 3
149 1 "First" 26 "Playful" 2 1
149 1 "Second" 40 "Playful" 2 1
150 1 "First" 22 "Playful" 2 1
150 1 "Second" 36 "Friendly" 1 1
151 1 "First" 23 "Friendly" 1 1
151 1 "Second" 42 "Playful" 2 1
152 1 "First" 23 "Playful" 2 1
152 1 "Second" 37 "Playful" 2 1
153 1 "First" 26 "Playful +" 13 2
153 1 "Second" 26 NA NA NA
154 1 "First" 21 "Playful" 2 1
154 1 "Second" 21 NA NA NA
155 1 "First" 21 "Reactive to Dogs Non Aggressive" 9 2
155 1 "Second" 43 "Reactive to Dogs Non Aggressive" 9 2
156 1 "First" 22 "Playful" 2 1
156 1 "Second" 43 "Friendly" 1 1
157 1 "First" 22 "Reactive to Dogs Aggressive" 16 3
157 1 "Second" 37 "Reactive to Dogs Aggressive" 16 3
158 1 "First" 19 "Playful" 2 1
158 1 "Second" 37 "Playful" 2 1
159 1 "First" 27 "Friendly" 1 1
159 1 "Second" 41 "Playful" 2 1
160 1 "First" 23 "Uncomfortable Avoids" 6 2
160 1 "Second" 37 "Reactive to Dogs Non Aggressive" 9 2
161 1 "First" 24 "Playful" 2 1
161 1 "Second" 24 NA NA NA
162 1 "First" 21 "Uncomfortable Approaches" 12 2
162 1 "Second" 36 "Playful" 2 1
163 1 "First" 23 "Playful" 2 1
163 1 "Second" 38 "Playful +" 13 2
164 1 "First" 15 "Friendly" 1 1
164 1 "Second" 35 "Friendly" 1 1
165 1 "First" 23 "Friendly" 1 1
165 1 "Second" 39 "Playful" 2 1
166 1 "First" 24 "Playful" 2 1
166 1 "Second" 42 "Playful" 2 1
167 1 "First" 19 "Reactive to Dogs Aggressive" 16 3
167 1 "Second" 19 NA NA NA
168 1 "First" 22 "Playful" 2 1
168 1 "Second" 22 NA NA NA
169 1 "First" 22 "Independent" 3 1
169 1 "Second" 39 "Independent" 3 1
170 1 "First" 20 "Friendly" 1 1
170 1 "Second" 35 "Friendly" 1 1
171 1 "First" 20 "Playful" 2 1
171 1 "Second" 20 NA NA NA
172 1 "First" 20 "Friendly" 1 1
172 1 "Second" 20 NA NA NA
173 1 "First" 24 "Friendly" 1 1
173 1 "Second" 24 NA NA NA
174 1 "First" 21 "Playful" 2 1
174 1 "Second" 43 "Friendly" 1 1
175 1 "First" 21 "Playful" 2 1
175 1 "Second" 43 "Friendly" 1 1
176 1 "First" 16 "Friendly" 1 1
176 1 "Second" 16 NA NA NA
177 1 "First" 20 "Independent" 3 1
177 1 "Second" 41 "Friendly" 1 1
178 1 "First" 21 "Reactive to Dogs Aggressive" 16 3
178 1 "Second" 21 NA NA NA
179 1 "First" 24 "Playful +" 13 2
179 1 "Second" 24 NA NA NA
180 1 "First" 25 "Playful" 2 1
180 1 "Second" 25 NA NA NA
181 1 "First" 27 "Friendly" 1 1
181 1 "Second" 27 NA NA NA
182 1 "First" 20 "Playful" 2 1
182 1 "Second" 42 "Playful" 2 1
183 1 "First" 16 "Uncomfortable Avoids" 6 2
183 1 "Second" 37 "Playful" 2 1
184 1 "First" 26 "Submissive" 4 1
184 1 "Second" 40 "Playful" 2 1
185 1 "First" 22 "Playful" 2 1
185 1 "Second" 37 "Reactive to Dogs Aggressive" 16 3
186 1 "First" 20 "Playful" 2 1
186 1 "Second" 20 NA NA NA
187 1 "First" 23 "Reactive to Dogs Non Aggressive" 9 2
187 1 "Second" 23 NA NA NA
188 1 "First" 25 "Playful" 2 1
188 1 "Second" 40 "Playful" 2 1
189 1 "First" 20 "No opinion" NA NA
189 1 "Second" 20 NA NA NA
190 1 "First" 22 "Reactive to Dogs Non Aggressive" 9 2
190 1 "Second" 39 "Reactive to Dogs Non Aggressive" 9 2
191 1 "First" 15 "Friendly" 1 1
191 1 "Second" 36 "Playful" 2 1
192 1 "First" 27 "Playful +" 13 2
192 1 "Second" 40 "Playful +" 13 2
193 1 "First" 21 "Playful" 2 1
193 1 "Second" 21 NA NA NA
194 1 "First" 22 "Playful +" 13 2
194 1 "Second" 22 NA NA NA
195 1 "First" 23 "Friendly" 1 1
195 1 "Second" 23 NA NA NA
196 1 "First" 19 "Playful" 2 1
196 1 "Second" 19 NA NA NA
197 1 "First" 20 "Playful" 2 1
197 1 "Second" 20 NA NA NA
198 1 "First" 20 "Reactive to Dogs Non Aggressive" 9 2
198 1 "Second" 20 NA NA NA
199 1 "First" 19 "Playful" 2 1
199 1 "Second" 19 NA NA NA
200 1 "First" 18 "Focused" 11 2
200 1 "Second" 36 "Playful" 2 1
201 1 "First" 18 "Friendly" 1 1
201 1 "Second" 39 "Playful" 2 1
202 1 "First" 19 "Friendly" 1 1
202 1 "Second" 41 "Playful" 2 1
203 1 "First" 16 "Playful" 2 1
203 1 "Second" 40 "Playful" 2 1
204 1 "First" 19 "Independent" 3 1
204 1 "Second" 39 "Playful" 2 1
205 1 "First" 15 "Uncomfortable Avoids" 6 2
205 1 "Second" 36 "Friendly" 1 1
206 1 "First" 22 "Friendly" 1 1
206 1 "Second" 22 NA NA NA
207 1 "First" 19 "Reactive to Dogs Aggressive" 16 3
207 1 "Second" 39 "Reactive to Dogs Aggressive" 16 3
208 1 "First" 23 "Friendly" 1 1
208 1 "Second" 42 "Reactive to Dogs Non Aggressive" 9 2
209 1 "First" 19 "Reactive to Dogs Aggressive" 16 3
209 1 "Second" 44 "Reactive to Dogs Aggressive" 16 3
210 1 "First" 17 "Uncomfortable Avoids" 6 2
210 1 "Second" 17 NA NA NA
211 1 "First" 23 "Playful" 2 1
211 1 "Second" 23 NA NA NA
212 1 "First" 21 "Independent" 3 1
212 1 "Second" 37 "Friendly" 1 1
213 1 "First" 18 "Playful" 2 1
213 1 "Second" 38 "Friendly" 1 1
214 1 "First" 22 "Friendly" 1 1
214 1 "Second" 35 "Reactive to Dogs Non Aggressive" 9 2
215 1 "First" 17 "Reactive to Dogs Non Aggressive" 9 2
215 1 "Second" 17 NA NA NA
216 1 "First" 20 "Playful" 2 1
216 1 "Second" 20 NA NA NA
217 1 "First" 18 "Playful" 2 1
217 1 "Second" 18 NA NA NA
218 1 "First" 18 "Friendly" 1 1
218 1 "Second" 36 "Friendly" 1 1
219 1 "First" 16 "Submissive" 4 1
219 1 "Second" 16 NA NA NA
220 1 "First" 17 "Submissive" 4 1
220 1 "Second" 17 NA NA NA
221 1 "First" 15 "Friendly" 1 1
221 1 "Second" 43 "Submissive" 4 1
222 1 "First" 21 "Playful" 2 1
222 1 "Second" 44 "Playful" 2 1
223 1 "First" 23 "Playful" 2 1
223 1 "Second" 38 "Friendly" 1 1
224 1 "First" 19 "Playful" 2 1
224 1 "Second" 36 "Submissive" 4 1
225 1 "First" 17 "Independent" 3 1
225 1 "Second" 36 "Independent" 3 1
226 1 "First" 15 "Submissive" 4 1
226 1 "Second" 43 "Playful" 2 1
227 1 "First" 22 "Playful" 2 1
227 1 "Second" 39 "Friendly" 1 1
228 1 "First" 19 "Friendly" 1 1
228 1 "Second" 40 "Friendly" 1 1
229 1 "First" 17 "Friendly" 1 1
229 1 "Second" 17 NA NA NA
230 1 "First" 21 "Playful +" 13 2
230 1 "Second" 37 "Playful +" 13 2
231 1 "First" 22 "Friendly" 1 1
231 1 "Second" 40 "Playful" 2 1
232 1 "First" 22 "Uncomfortable Avoids" 6 2
232 1 "Second" 40 "Uncomfortable Avoids" 6 2
233 1 "First" 15 "Reactive to Dogs Non Aggressive" 9 2
233 1 "Second" 15 NA NA NA
234 1 "First" 15 "Playful" 2 1
234 1 "Second" 15 NA NA NA
235 1 "First" 19 "Friendly" 1 1
235 1 "Second" 19 NA NA NA
236 1 "First" 17 "Friendly" 1 1
236 1 "Second" 17 NA NA NA
237 1 "First" 22 "Friendly" 1 1
237 1 "Second" 36 "Independent" 3 1
238 1 "First" 22 "Independent" 3 1
238 1 "Second" 37 "Reactive to Dogs Non Aggressive" 9 2
239 1 "First" 17 "Friendly" 1 1
239 1 "Second" 17 NA NA NA
240 1 "First" 16 "Reactive to Dogs Non Aggressive" 9 2
240 1 "Second" 16 NA NA NA
241 1 "First" 15 "Friendly" 1 1
241 1 "Second" 15 NA NA NA
1 2 "First" 16 "Friendly" 1 1
1 2 "Second" 20 "Excitable" 2 1
2 2 "First" 18 "Independent" 3 1
2 2 "Second" 40 "Friendly" 1 1
3 2 "First" 21 "Friendly" 1 1
3 2 "Second" 35 "Excitable" 2 1
4 2 "First" 26 "Uncomfortable Avoids" 5 2
4 2 "Second" 47 "Uncomfortable Avoids" 5 2
5 2 "First" 21 "Friendly" 1 1
5 2 "Second" 21 NA NA NA
6 2 "First" 19 "Excitable" 2 1
6 2 "Second" 40 "Excitable" 2 1
7 2 "First" 24 "Reactive to People Non Aggressive" 9 2
7 2 "Second" 53 "Excitable" 2 1
8 2 "First" 19 "Excitable" 2 1
8 2 "Second" 19 NA NA NA
9 2 "First" 15 "Friendly" 1 1
9 2 "Second" 42 "Excitable" 2 1
10 2 "First" 15 "Friendly" 1 1
10 2 "Second" 35 "Excitable" 2 1
11 2 "First" 18 "Excitable" 2 1
11 2 "Second" 18 NA NA NA
12 2 "First" 18 "Independent" 3 1
12 2 "Second" 18 NA NA NA
13 2 "First" 21 "Excitable" 2 1
13 2 "Second" 21 NA NA NA
14 2 "First" 14 "Excitable" 2 1
14 2 "Second" 56 "Excitable" 2 1
15 2 "First" 19 "Friendly" 1 1
15 2 "Second" 44 "Friendly" 1 1
16 2 "First" 17 "Excitable" 2 1
16 2 "Second" 45 "Excitable" 2 1
17 2 "First" 21 "Uncomfortable Avoids" 5 2
17 2 "Second" 37 "Friendly" 1 1
18 2 "First" 21 "Friendly" 1 1
18 2 "Second" 21 NA NA NA
19 2 "First" 21 "Friendly" 1 1
19 2 "Second" 42 "Friendly" 1 1
20 2 "First" 22 "Excitable" 2 1
20 2 "Second" 22 NA NA NA
21 2 "First" 21 "Excitable" 2 1
21 2 "Second" 49 "Friendly" 1 1
22 2 "First" 19 "Friendly" 1 1
22 2 "Second" 44 "Friendly" 1 1
23 2 "First" 19 "Independent" 3 1
23 2 "Second" 42 "Independent" 3 1
24 2 "First" 19 "Friendly" 1 1
24 2 "Second" 19 NA NA NA
25 2 "First" 20 "Friendly" 1 1
25 2 "Second" 41 "Excitable" 2 1
26 2 "First" 14 "Independent" 3 1
26 2 "Second" 14 NA NA NA
27 2 "First" 22 "Friendly" 1 1
27 2 "Second" 43 "Friendly" 1 1
28 2 "First" 16 "Independent" 3 1
28 2 "Second" 43 "Friendly" 1 1
29 2 "First" 19 "Friendly" 1 1
29 2 "Second" 42 "Friendly" 1 1
30 2 "First" 27 "Uncomfortable Avoids" 5 2
30 2 "Second" 27 NA NA NA
31 2 "First" 16 "Friendly" 1 1
31 2 "Second" 16 NA NA NA
32 2 "First" 23 "Independent" 3 1
32 2 "Second" 23 NA NA NA
33 2 "First" 21 "Friendly" 1 1
33 2 "Second" 21 NA NA NA
34 2 "First" 24 "Friendly" 1 1
34 2 "Second" 41 "Friendly" 1 1
35 2 "First" 20 "Uncomfortable Avoids" 5 2
35 2 "Second" 37 "Friendly" 1 1
36 2 "First" 18 "No opinion" NA NA
36 2 "Second" 38 "Excitable" 2 1
37 2 "First" 19 "Friendly" 1 1
37 2 "Second" 19 NA NA NA
38 2 "First" 17 "Excitable" 2 1
38 2 "Second" 17 NA NA NA
39 2 "First" 24 "Friendly" 1 1
39 2 "Second" 24 NA NA NA
40 2 "First" 19 "Reactive to People Non Aggressive" 9 2
40 2 "Second" 19 NA NA NA
41 2 "First" 14 "Friendly" 1 1
41 2 "Second" 14 NA NA NA
42 2 "First" 17 "Excitable" 2 1
42 2 "Second" 17 NA NA NA
43 2 "First" 15 "Friendly" 1 1
43 2 "Second" 52 "Friendly" 1 1
44 2 "First" 16 "Friendly" 1 1
44 2 "Second" 16 NA NA NA
45 2 "First" 17 "Independent" 3 1
45 2 "Second" 17 NA NA NA
46 2 "First" 19 "No opinion" NA NA
46 2 "Second" 19 NA NA NA
47 2 "First" 18 "Friendly" 1 1
47 2 "Second" 18 NA NA NA
48 2 "First" 46 "Friendly" 1 1
48 2 "Second" 67 "Friendly" 1 1
49 2 "First" 15 "Uncomfortable Avoids" 5 2
49 2 "Second" 15 NA NA NA
50 2 "First" 17 "Friendly" 1 1
50 2 "Second" 17 NA NA NA
51 2 "First" 21 "Friendly" 1 1
51 2 "Second" 36 "Friendly" 1 1
52 2 "First" 21 "Friendly" 1 1
52 2 "Second" 42 "Excitable" 2 1
53 2 "First" 15 "Friendly" 1 1
53 2 "Second" 51 "Excitable" 2 1
54 2 "First" 17 "Excitable" 2 1
54 2 "Second" 17 NA NA NA
55 2 "First" 22 "Friendly" 1 1
55 2 "Second" 37 "Uncomfortable Avoids" 5 2
56 2 "First" 35 "Excitable" 2 1
56 2 "Second" 35 NA NA NA
57 2 "First" 15 "Excitable" 2 1
57 2 "Second" 44 "Excitable" 2 1
58 2 "First" 16 "Excitable" 2 1
58 2 "Second" 37 "Excitable" 2 1
59 2 "First" 18 "Friendly" 1 1
59 2 "Second" 18 NA NA NA
60 2 "First" 15 "Friendly" 1 1
60 2 "Second" 15 NA NA NA
61 2 "First" 20 "Friendly" 1 1
61 2 "Second" 41 "Friendly" 1 1
62 2 "First" 51 "Friendly" 1 1
62 2 "Second" 72 "Friendly" 1 1
63 2 "First" 19 "Friendly" 1 1
63 2 "Second" 40 "Excitable" 2 1
64 2 "First" 15 "Excitable" 2 1
64 2 "Second" 50 "Submissive" 4 1
65 2 "First" 29 "Friendly" 1 1
65 2 "Second" 29 NA NA NA
66 2 "First" 15 "Excitable" 2 1
66 2 "Second" 36 "Friendly" 1 1
67 2 "First" 17 "Friendly" 1 1
67 2 "Second" 39 "Friendly" 1 1
68 2 "First" 15 "Friendly" 1 1
68 2 "Second" 42 "Independent" 3 1
69 2 "First" 16 "Uncomfortable Avoids" 5 2
69 2 "Second" 38 "Uncomfortable Avoids" 5 2
70 2 "First" 16 "Excitable" 2 1
70 2 "Second" 52 "Excitable" 2 1
71 2 "First" 16 "Uncomfortable Avoids" 5 2
71 2 "Second" 35 "Uncomfortable Avoids" 5 2
72 2 "First" 22 "Friendly" 1 1
72 2 "Second" 43 "Independent" 3 1
73 2 "First" 16 "Friendly" 1 1
73 2 "Second" 37 "Friendly" 1 1
